AGRP	MC1R	MC3R	MC4R	MC5R	POMC
CRH	CRHR1	CRHR2	UCN	UCN2	UCN3
DPH2	IL17A	IL17F	IL17RA	IL17RC
INSL3	RLN2	RLN3	RXFP1	RXFP2
ABCC8	ABCC9	KCNJ11	KCNJ8
ARL8A	FAM189B	RNF24	UQCRH
C19ORF29	C19ORF29-AS1	G2E3	LST1
CCL1	CCL17	CCR4	CCR8
CDON	DHH	HHIP	IHH
DMWD	USP12	USP46	WDR20
GDNF	GFRA1	GFRA2	NRTN
IL12A	IL12B	IL12RB1	IL23A
KCNJ3	KCNJ5	KCNJ6	KCNJ9
ACADM	ETFA	ETFB
AGTR1	COTL1	PDE6H
C1QA	C1QB	C1QC
C1R	C1S	SERPING1
C20ORF4	EAPP	GJA5
C8A	C9	CD59
CCL19	CXCL13	CXCR5
COG1	COG2	COG3
DAZ1	DAZL	DZIP1
DOK7	MUSK	RAPSN
DSCAML1	MAGI3	NRCAM
ERVW-1	SLC1A4	SLC1A5
FNBP1	RND2	SNX2
G3BP1	G3BP2	USP10
GBE1	PGD	PHGDH
GCG	MEP1A	MEP1B
HBD	HBQ1	RFESD
HTR2C	MPDZ	PLEKHA2
IAPP	PCSK1	PCSK2
IL10	IL10RA	IL10RB
IL13	IL13RA1	IL13RA2
KCNJ10	KCNJ15	KCNJ16
MYO10	PLA2G10	PLA2R1
NPB	NPBWR1	NPW
NUDT9P1	SAA4	SAA@
PEX1	PEX26	PEX6
POLRMT	TFAM	TFB1M
RFX5	RFXANK	RFXAP
RPS21	SHCBP1	ZUFSP
SELE	SELP	SELPLG
TNFRSF13C	TNFRSF17	TNFSF13B
ABP1	CYBASC3
ACAN	MMP8
ACHE	COLQ
ACY1	NUDT1
ADA	ADORA1
ADAM3B	KRT9
ADAMTS1	VCAN
ADCYAP1	ADCYAP1R1
AMDHD2	GNPDA2
ANKRD1	MYPN
ANO8	COQ9
ARHGAP21	ZNF177
ARHGAP44	HN1
ARHGEF9	GPHN
ARMC1	FAM54B
ARNTL2	CLOCK
AZGP1	PIP
BAI3	CCDC75
BAMBI	SEP15
BOP1	PES1
C1orf174	PDIK1L
C1orf189	PTGES2
C1orf21	DRAM1
C20ORF3	LOXL3
C3orf45	C7orf53
C6ORF203	SRFBP1
CAB39	STRADA
CAB39L	MX1
CAPG	NCAPH
CBWD2	ECHS1
CCDC110	DEPDC6
CCL20	CCR6
CCM2	KRIT1
CD14	LBP
CDH18	CDH6
CEP19	RABL2B
CFB	CFP
CHP2	SLC9A3
CITED2	TFAP2C
CLDN1	CLDN3
CLIC1	TPRN
CLPS	PNLIP
COL5A1	COL5A3
CPM	EGF
CS	MDH2
CUBN	GIF
CXorf56	PDCL2
CYB5A	CYB5R3
DAGLB	PISD
DICER1	EIF2C1
DLAT	PDK3
DYDC2	NME5
DYNLT1	HSPB9
ELMOD1	THG1L
ELN	MFAP2
EML2	EXD1
ENDOV	PRPSAP2
EPM2A	NHLRC1
EYA3	SIX4
FAM69B	RBMS2
FCAR	FCGR1A
FDXR	FHIT
FEM1B	KIAA0319
FLT3	FLT3LG
FNTB	GBP1
FOXA2	OTX2
FSHB	FSHR
GAL	GALR1
GNA11	HTR2B
GNB4	GNG13
GPC1	SLIT2
GSTM1	GSTM2
GUCA2A	GUCY2C
HECTD1	IGSF1
HLA-DMA	HLA-DMB
